psc_type,portfolio_group,portfolio,psc_code,psc_code_start_date,psc_code_end_date,psc_code_short_name,psc_code_long_name,psc_code_includes,psc_code_excludes,psc_code_notes
Product,"Aircraft, Ships, Submarines & Land Vehicles",Ships & Submarines,4470,10/15/78,,NUCLEAR REACTORS,Nuclear Reactors,"Refueling Machines; Ion Chamber Seals; Thermal Barriers; Control Rods; Steam Generators, Pressurized  Water; Reactor Vessel Shells; Handling Carts, Hoisting  Units, New and Spent Cartridges.",,"This class includes all types of nuclear  reactors and those items which are specifically designed for use within nuclear reactors, their primary cooling  systems, auxiliary fluid systems, special propulsion plant systems, handling and servicing equipment, electrical and control systems, and associated special test and water chemistry control items.  Excluded from  this class are those items for which more specific classifications are suitable."
Product,"Clothing, Textiles & Subsistence S&E",Medical & Dental S&E,6505,10/15/78,,DRUGS AND BIOLOGICALS,Drugs and Biologicals,"All drugs, medicinal grade chemicals, and biologicals subject to the Federal Food, Drug and Cosmetic Act, Department of Agriculture (Veterinary Drugs and Biologicals), listed in the Monograph Section of the U.S. Pharmacopeia or the National Formulary or covered by the United States Adopted Names (USAN).",Medicated cosmetics and toiletries classifiable in FSC 6508 and in vitro diagnostic substances and reagents classifiable in FSC 6550.,
Product,"Clothing, Textiles & Subsistence S&E",Medical & Dental S&E,6508,11/15/78,,MEDICATED COSMETICS AND TOILETRIES,Medicated Cosmetics and Toiletries,"medicated cosmetics and toiletries that have been determined to be drugs in accordance with the Federal Food, Drug, and Cosmetic Act.",nonmedicated cosmetics and toiletries which are classifiable in group 85.,
Product,"Clothing, Textiles & Subsistence S&E",Medical & Dental S&E,6509,5/1/05,,"DRUGS AND BIOLOGICALS, VETERINARY USE","Drugs and Biologicals, Veterinary Use.","All Drugs, medicinal grade chemical, and Biologicals subject to the provisions of the Department of Agriculture (Veterinary Drugs and Biologicals) specifically formulated for Veterinary use. Other Nations may apply their own legal documents.",Drugs and Biologicals specifically formulated for Human use classifiable in FSC 6505.,
Product,"Clothing, Textiles & Subsistence S&E",Medical & Dental S&E,6510,10/15/78,,SURGICAL DRESSING MATERIALS,Surgical Dressing Materials,"Bandages, Compresses, Dressings, Gauze, Pads, Sponges, and impregnated surgical dressing materials.",,
Product,"Clothing, Textiles & Subsistence S&E",Medical & Dental S&E,6515,10/1/11,,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES","Medical and Surgical Instruments, Equipment, and Supplies","Anesthesia Apparatus; Blood Transfusion Apparatus; Oxygen Therapy Apparatus; Respirators; Orthopedic Supplies; Arch Supports; Clinical Thermometers; Sutures; Hearing Aids; Veterinary  Equipment, Endoscopes, Fiber Optic.","Ophthalmic Instruments, Equipment, and Supplies; Non-Medical Endoscopes.",
Product,"Clothing, Textiles & Subsistence S&E",Medical & Dental S&E,6520,10/1/11,,"DENTAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES","Dental Instruments, Equipment, and Supplies",Dental Engines; Dental Laboratory Equipment; Operating Chairs;  Orthodontic Appliances; Teeth; Dental Metals; Dental Abrasives; Dental  Laboratory Furniture.,,
Product,"Clothing, Textiles & Subsistence S&E",Medical & Dental S&E,6525,10/1/11,,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY","X-Ray Equipment and Supplies: Medical, Dental, Veterinary",Medical X-Ray Film; Medical X-Ray Film Viewing Equipment; Medical X-Ray Film Processing and Finishing Equipment and Supplies; X-Ray Tubes.,Industrial X-Ray Equipment.,
Product,"Clothing, Textiles & Subsistence S&E",Medical & Dental S&E,6530,10/1/11,,"HOSPITAL FURNITURE, EQUIPMENT, UTENSILS, AND SUPPLIES","Hospital Furniture, Equipment, Utensils, and Supplies",Orthopedic Equipment; Operating Lights; Physiotherapy Equipment; Sterilizers; Wheel Chairs; Litters; Hospital Beds; Restraint Equipment.,,
Product,"Clothing, Textiles & Subsistence S&E",Medical & Dental S&E,6532,10/1/11,,HOSPITAL AND SURGICAL CLOTHING AND RELATED SPECIAL PURPOSE ITEMS,Hospital and Surgical Clothing and Related Special Purpose Items,"Only those clothing items which are required exclusively for use in  hospital operations, or in medical or dental facilities, which have no functional  counterpart elsewhere in Federal Organizations Participating in the Federal  Catalog System.",General purpose items of clothing and fabricated textile material.,
Product,"Clothing, Textiles & Subsistence S&E",Medical & Dental S&E,6540,10/1/11,,"OPHTHALMIC INSTRUMENTS, EQUIPMENT, AND SUPPLIES","Ophthalmic Instruments, Equipment, and Supplies","Ophthalmic Lens Cutting and Grinding Machine; Ophthalmic Lenses and Lens Blanks; Spectacle Frames; Ophthalmological and Optometric Instruments, Equipment, and Supplies","Optical Lens Cutting and Grinding Machines: Ophthalmoscope  and Otoscope  Set; Surgical Instruments and Supplies that can be used by other medical disciplines; i.e., sutures, eye pads, eye shields, eye bath, and the like.",
Product,"Clothing, Textiles & Subsistence S&E",Medical & Dental S&E,6545,10/1/11,,"REPLENISHABLE FIELD MEDICAL SETS, KITS, AND OUTFITS","Replenishable Field Medical Sets, Kits, and Outfits",,"Sets and kits which can be logically classified in another FSC Class  in Group 65, such as Insect Sting Kit; Otoscope and Ophthalmoscope Set; In Vitro Diagnostic Test Kits; and the like.",
Product,"Clothing, Textiles & Subsistence S&E",Medical & Dental S&E,6550,10/1/11,,"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS","In Vitro Diagnostic Substances, Reagents, Test Kits and Sets","In vitro diagnostic aids, such as test tablets, test slides, test strips, test cards, test papers, test solutions, reagents; sets and kits designated for in vitro qualitative and quantitative tests on specimens, such as blood, urine, feces, and the like, for the purposes of aiding in the medical diagnosis of disease, determining body organ dysfunction, or other abnormal conditions.",in vitro diagnostic substances classifiable in FSC 6505.,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8710,10/15/78,,FORAGE AND FEED,Forage and Feed,Hay; Manufactured Feed; Straw; Zoological Animal Food.,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8810,8/15/79,,"LIVE ANIMALS, RAISED FOR FOOD","Live Animals, Raised for Food",,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8905,10/15/78,,"MEAT, POULTRY, AND FISH","Meat, Poultry, and Fish",Game Birds; Shellfish; Sausage Casings.,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8910,10/15/78,,DAIRY FOODS AND EGGS,Dairy Foods and Eggs,Ice Cream; Frozen Custards; Ice Cream Mixes; Rennet; Milk Sherbets; Ices.,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8915,10/15/78,,FRUITS AND VEGETABLES,Fruits and Vegetables,Baked Beans; Juices.,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8920,10/15/78,,BAKERY AND CEREAL PRODUCTS,Bakery and Cereal Products,Flour; Prepared Flour; Prepared Cereals; Macaroni.,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8925,10/15/78,,"SUGAR, CONFECTIONERY, AND NUTS","Sugar, Confectionery, and Nuts",Candy; Chewing Gum; Honey; Maple Syrup.,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8930,10/15/78,,"JAMS, JELLIES, AND PRESERVES","Jams, Jellies, and Preserves",,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8935,10/15/78,,SOUPS AND BOUILLONS,Soups and Bouillons,,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8940,10/1/11,,SPECIAL DIETARY FOODS AND FOOD SPECIALTY PREPARATIONS,Special Dietary Foods and Food Specialty Preparations,Infant Foods; Potato Chips; Prepared Pie and Cake Fillings.,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8945,10/15/78,,"FOOD, OILS AND FATS","Food, Oils and Fats",,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8950,10/15/78,,CONDIMENTS AND RELATED PRODUCTS,Condiments and Related Products,Salad Dressings; Spices; Seasonings; Flavoring Extracts; Yeast; Olives.,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8955,10/15/78,,"COFFEE, TEA, AND COCOA","Coffee, Tea, and Cocoa",Postum; Yerba Mate; Chicory.,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8960,10/15/78,,"BEVERAGES, NONALCOHOLIC","Beverages, Nonalcoholic",Soft Drinks; Ice.,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8965,6/15/81,,"BEVERAGES, ALCOHOLIC","Beverages, Alcoholic",Beer; Whisky; Wine; Liqueur.,"Sacramental Wine and Medicinal grade Brandy, Whisky, and Wine.",
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8970,10/15/78,,COMPOSITE FOOD PACKAGES,Composite Food Packages,Ration Packs and Emergency Rations; CARE Packages.,,
Product,"Clothing, Textiles & Subsistence S&E",Subsistence,8975,10/15/78,,TOBACCO PRODUCTS,Tobacco Products,Snuff; Cigarettes; Cigars.,,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8305,10/15/78,,TEXTILE FABRICS,Textile Fabrics,"Canvas Materials; Plastic Fabrics; Felt Materials; Netting, Plastic and Textile; Oilcloth, Textile Scrap.",Carpeting.,"This class includes only textiles in bulk.  Excluded from this  class are items that are precut or preformed, thus limiting their usefulness  to specific applications.  Such items are classified in the same class as the  item or items for which designed or in such other class as is appropriate."
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8310,10/1/11,,YARN AND THREAD,Yard and Thread,,,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8315,10/15/78,,NOTIONS AND APPAREL FINDINGS,Notions and Apparel Findings,Buttons; Dressmakers' Pins; Needles; Shoulder Pads; Embroideries; Stamped Art Goods for Embroidery and Art Needlework; Hair Nets; Sewing Kits.,Yarn; Thread; General Purpose Buckles.,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8320,4/15/79,,PADDING AND STUFFING MATERIALS,Padding and Stuffing Materials,"Feathers and Downs, Processed; Spanish Moss, Processed;  Cotton Wadding and Batting; Kapok.","Feathers and Downs, Unprocessed.",
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8325,12/15/90,,FUR MATERIALS,Fur Materials,Crosses; Sacs; Fur Plates; Fur Mats.,,"This class includes only fur materials in bulk.  Excluded from this class are items that are precut or performed, thus limiting their usefulness  to specific applications.  Such items are classified in the same class as the item or items for which designed, or in such other class as is appropriate."
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8330,11/15/78,,LEATHER,Leather,Garment Leather; Patent Leather; Glove Leather; Shoe  Leather; Upholstery Leather; Industrial Leather.,Belting; Shoe Findings.,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8335,10/15/78,,SHOE FINDINGS AND SOLING MATERIALS,Shoe Findings and Soling Materials,Counters; Taps; Shoe Laces; Lasts and Last Sole Patterns; Ornamental Shoe Buckles and Bows.,,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8340,10/15/78,,TENTS AND TARPAULINS,Tents and Tarpaulins,"Tent Pins; Tent Poles; Multiple purpose covers of woven or  unwoven fabrics, not for permanent installation.",,"Fitted covers which are specifically designed for use on or with specific individual types of equipment are excluded from this class and  are to be classified in the same classes as the items for which they are  designed, or in such other classes as are appropriate."
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8345,10/15/78,,FLAGS AND PENNANTS,Flags and Pennants,"Signalling Flags, Flagstaffs; Signal Shapes; Flagpoles;  Flagstaff Trucks; Speed Cones; Flagstaff Belts; Semaphore Flags.",,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8405,10/15/78,,"OUTERWEAR, MEN'S","Outerwear, Men's","Uniforms, Military and Nonmilitary; Civilian Outerwear; Headwear; Work Clothing (Ordinary Nonsafety); Shirts; Trousers; Coats.","Items included in other classes such as Special Purpose Clothing; Helmets, Steel and Plastic; Safety Clothing; Handwear; Footwear.",
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8410,10/15/78,,"OUTERWEAR, WOMEN'S","Outerwear, Women's","Uniforms, Military and Nonmilitary; Civilian Outerwear;  Headwear; Work Clothing (Ordinary Nonsafety); Shirts; Skirts; Blouses.","Items included in other classes such as Special Purpose Clothing; Helmets, Steel and Plastic; Safety Clothing; Handwear; Footwear.",
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8415,10/15/78,,"CLOTHING, SPECIAL PURPOSE","Clothing, Special Purpose","Special Purpose Headwear, including Helmets, except Ballistic Protective; Safety and Protective Clothing; Athletic Clothing; Safety, Combat, Protective, and Work Gloves; Submarine Deck Exposure Clothing; Flight  Clothing Components designed for use with both Specialized and  Conventional Ensembles.",special purpose clothing wherein the primary purpose is ballistic resistant protection; Sporting and Athletic Gloves; Athletic Footwear; Safety Footwear; Personal Armor; Special Hospital and Surgical Clothing.,"This class includes conventional winter, summer, and intermediate  flight clothing ensembles and their components.  Excluded from this class are specialized antiexposure, antigravity, partial pressure, and full pressure,  flight ensembles and their specialized components."
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8420,10/15/78,,"UNDERWEAR AND NIGHTWEAR, MEN'S","Underwear and Nightwear, Men's",,,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8425,2/15/79,,"UNDERWEAR AND NIGHTWEAR, WOMEN'S","Underwear and Nightwear, Women's",Corsets; Girdles.,,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8430,10/15/78,,"FOOTWEAR, MEN'S","Footwear, Men's",Rubber Footwear; Athletic Footwear; Safety Footwear; Submarine Deck Exposure Footwear.,,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8435,10/15/78,,"FOOTWEAR, WOMEN'S","Footwear, Women's",Rubber Footwear; Athletic Footwear; Safety Footwear.,,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8440,10/1/11,,"HOSIERY, HANDWEAR, AND CLOTHING ACCESSORIES, MEN'S","Hosiery, Handwear, and Clothing Accessories, Men's","Handkerchiefs; Suspenders; Garters; Belts; Dress Handwear;  Leggings, Nonsafety Type.",,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8445,10/1/11,,"HOSIERY, HANDWEAR, AND CLOTHING ACCESSORIES, WOMEN'S","Hosiery, Handwear, and Clothing Accessories, Women's","Handkerchiefs; Garters; Belts; Neckerchiefs; Handbags; Dress  Handwear; Leggings, Nonsafety Type.",,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8450,10/1/11,,CHILDREN'S AND INFANTS' APPAREL AND ACCESSORIES,Children's and Infants' Apparel and Accessories,Footwear; Outerwear; Headwear; Handwear; Underwear; Nightwear.,,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8455,10/15/78,,BADGES AND INSIGNIA,Badges and Insignia,,Nonpersonal Insignia.,This class includes only items worn or carried on the person.
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8457,10/1/15,,JEWELRY,JEWELRY,"Jewelers' Findings; Precious Stones, Cut; Costume Jewelry; Natural Gems and Ornamental Stones, Cut; Clasp, Necktie and Cuff Buttons",Watches; Clocks; Tableware; Scientific Instruments; Toilet Articles; Smokers' Articles; Industrial Diamonds.,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8460,10/15/78,,LUGGAGE,Luggage,Foot Lockers; Brief Cases; Trunks; Suitcases.,Duffel Bags; Musette Bags.,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8465,10/15/78,,INDIVIDUAL EQUIPMENT,Individual Equipment,Mussette Bags; Duffel Bags; Ammunition Belts; Pistol Belts; Handcuffs; Packboards; Sleeping Bags; Knapsacks; Hikers' Packs; Sunglasses;  Skis; Snowshoes; Swords with Scabbards.,Toilet Articles; Mess Gear; Fabric Utility Containers.,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8470,10/15/78,,"ARMOR, PERSONAL","Armor, Personal",Clothing specially designed for use as personal armor.,all specialized flight clothing and accessories which may contain ballistic resistant properties as a secondary function.  Excludes special purpose clothing wherein the primary function is for purpose other than ballistic protection.,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8475,10/1/11,,SPECIALIZED FLIGHT CLOTHING AND ACCESSORIES,Specialized Flight Clothing and Accessories,"Specialized Antiexposure, Antigravity, Partial Pressure, and  Full Pressure Ensembles, and Specialized Components therefor,  including Unpressurized Protective Helmets, Eye Protective Devices,  and items with Sound Attenuating Features.","Conventional Winter, Summer, and Intermediate Flight Clothing Ensembles, and Components therefor; Components designed for use with both Specialized and Conventional Flight Clothing Ensembles.",
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8510,10/1/11,,"PERFUMES, TOILET PREPARATIONS, AND POWDERS","Perfumes, Toilet Preparations, and Powders",Colognes; Cosmetics; Deodorants; Depilatories; Toilet Waters.,,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8520,10/1/11,,"TOILET SOAP, SHAVING PREPARATIONS, AND DENTIFRICES","Toilet Soap, Shaving Preparations, and Dentifrices",Toothpaste; Shaving Soap.,Medicated Soaps.,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8530,10/15/78,,PERSONAL TOILETRY ARTICLES,Personal Toiletry Articles,Hair Brushes; Nail Brushes; Nail Files; Toothbrushes; Manicure  and Pedicure Implements; Razors and Blades.,Dental Floss.,
Product,"Clothing, Textiles & Subsistence S&E","Textiles, Clothing & Equipage",8540,10/15/78,,TOILETRY PAPER PRODUCTS,Toiletry Paper Products,Facial Tissues; Paper Toilet Seat Covers; Toilet Paper; Paper  Napkins; Doilies.,Towel Dispensers; Paper Plates and Cups.,
Product,Electronic & Communication Equipment,Communication Equipment,5805,10/15/78,,TELEPHONE AND TELEGRAPH EQUIPMENT,Telephone and Telegraph Equipment,,,
Product,Electronic & Communication Equipment,Communication Equipment,5810,10/1/11,,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,Communications Security Equipment and Components,,,
Product,Electronic & Communication Equipment,Communication Equipment,5811,10/1/11,,OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS,Other Cryptologic Equipment and Components,,,
Product,Electronic & Communication Equipment,Communication Equipment,5815,10/15/78,,TELETYPE AND FACSIMILE EQUIPMENT,Teletype and Facsimile Equipment,Ticker Tape and Sigtot Equipment.,,
Product,Electronic & Communication Equipment,Communication Equipment,5820,10/1/11,,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","Radio and Television Communication Equipment,  Except Airborne",Telemetering Equipment.,Home Type Radio and Television Equipment.,
Product,Electronic & Communication Equipment,Communication Equipment,5821,10/1/11,,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE","Radio and Television Communication Equipment, Airborne",Telemetering Equipment.,,
Product,Electronic & Communication Equipment,Communication Equipment,5825,10/1/11,,"RADIO NAVIGATION EQUIPMENT, EXCEPT AIRBORNE","Radio Navigation Equipment, Except Airborne",Loran Equipment; Shoran Equipment; Direction Finding Equipment.,,
Product,Electronic & Communication Equipment,Communication Equipment,5826,10/1/11,,"RADIO NAVIGATION EQUIPMENT, AIRBORNE","Radio Navigation Equipment, Airborne",Loran Equipment; Shoran Equipment; Direction Finding Equipment.,,
Product,Electronic & Communication Equipment,Communication Equipment,5830,10/1/11,,"INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, EXCEPT AIRBORNE","Intercommunication and Public Address Systems,  Except Airborne",Wired Audio Systems; Office Type Systems;  Shipboard Systems; Tank Systems.,,
Product,Electronic & Communication Equipment,Communication Equipment,5831,10/1/11,,"INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, AIRBORNE","Intercommunication and Public Address Systems, Airborne",,,
Product,Electronic & Communication Equipment,Communication Equipment,5835,10/1/11,,SOUND RECORDING AND REPRODUCING EQUIPMENT,Sound Recording and Reproducing Equipment,,"Phonographs, Home Type; Dictating Machines.",
