expense_type,expense_type_key,expense_type_name
SL-POST DIFF,124,POST DIFF
SL-POSTAGE,125,POSTAGE
SL-PRINTING,126,PRINTING
SL-PROF FEES,127,PROF FEES
SL-PROF FEES-ACCTNG,128,PROF FEES-ACCTNG
SL-PROF FEES-LEGAL,129,PROF FEES-LEGAL
SL-PROF FEES-MED,130,PROF FEES-MED
SL-PROF FEES-OTHER,131,PROF FEES-OTHER
SL-PROF FEES-SVCS,132,PROF FEES-SVCS
SL-PROPERTY TAX,133,PROPERTY TAX
SL-RECRUITMENT,134,RECRUITMENT
SL-RENT,135,RENT
SL-REST & RECUP,136,REST & RECUP
SL-RETENTION INCENT,185,RETENTION INCENT
SL-S/F WAR INS.,137,S/F WAR INS.
SL-SALES & USE TAX,138,SALES & USE TAX
SL-SCHOOL IMPROV,139,SCHOOL IMPROV
SL-SEMINARS,140,SEMINARS
SL-SEVERENCE,141,SEVERENCE
SL-SHIPPING,142,SHIPPING
SL-SICK,143,SICK
SL-SKILL DEVELOP TX,144,SKILL DEVELOP TX
SL-STAFF COST DEVEL,145,STAFF COST DEVEL
SL-STAFF COST TEMP,146,STAFF COST TEMP
SL-STAFF COSTS PARK,147,STAFF COSTS PARK
SL-STAFF COSTS RECR,148,STAFF COSTS RECR
SL-STATE INCOME TAX,149,STATE INCOME TAX
SL-STUDENT STIPEND,150,STUDENT STIPEND
SL-SUBCONTRACT FEE,151,SUBCONTRACT FEE
SL-SUBCONTRACT ODC,152,SUBCONTRACT ODC
SL-SUBSCRIPTIONS,153,SUBSCRIPTIONS
SL-SUBSIDIARY P/T,188,SUBSIDIARY P/T
SL-SUPPLIES,154,SUPPLIES
SL-SVC/MAINT-COMP,155,SVC/MAINT-COMP
SL-SVC/MAINT-OFF EQ,156,SVC/MAINT-OFF EQ
SL-SVC/MAINT-RCRTNG,157,SVC/MAINT-RCRTNG
SL-TAX EXPENSE-VAT,158,TAX EXPENSE-VAT
SL-TAX-STF FOR INC,159,TAX-STF FOR INC
SL-TELEPHONE,160,TELEPHONE
SL-TRAINING,161,TRAINING
SL-TRANSLATION,162,TRANSLATION
SL-TRANSPORTATION,163,TRANSPORTATION
SL-TRAVEL FRINGE,164,TRAVEL FRINGE
SL-TRAVEL LOCAL,165,TRAVEL LOCAL
SL-TRAVEL OUTOFTOWN,166,TRAVEL OUTOFTOWN
SL-TRAVEL PER DIEM,167,TRAVEL PER DIEM
TRAVEL-ODC,193,TRAVEL-ODC
SL-TRAVEL-R&R/HOME,168,TRAVEL-R&R/HOME
SL-UNALLOWABLE,169,UNALLOWABLE
SL-UTILITIES,170,UTILITIES
SL-VEHICLE FUELS,171,VEHICLE FUELS
SL-VEHICLE INSURAN,172,VEHICLE INSURAN
SL-VEHICLE MAINT,173,VEHICLE MAINT
SL-VEHICLE RENTAL,174,VEHICLE RENTAL
SL-VEHICLES,175,VEHICLES
SL-VISA EXPENSE,176,VISA EXPENSE
SL-WORKSHOPS,177,WORKSHOPS
ADVANCE,1,z.Advance
AIRFARE,2,z.Airfare
BUSINESS MEAL,4,z.Business Meals
CASH-RETURN,3,z.Cash Return
Z.HISTORICAL_LABOR,186,z.Historical_Labor
Z.LODGING OVER PER DIEM,7,z.Lodging Over Per Diem
LODGING PER DIEM,8,z.Lodging Per Diem
LODGING PER DIEM ALLOW,6,z.Lodging Per Diem Allowable
LODGING,5,z.Lodging Standard
MIE OVER PER DIEM,12,z.MIE Over Per Diem
MIE PER DIEM,11,z.MIE Per Diem
Z MIE PER DIEM ALLOWABLE,10,z.MIE Per Diem Allowable
"MILEAGE
Rate Set is Standard",13,z.Mileage
OTHER,14,z.Other
SL-SUBCONTRACTOR,15,z.Subcontractor
